date,jasmine,milk_tea,choco_milk,brown_sugar,nastar,strawberry_milk,manggo_milk,rose_milk,rose_milk_tea,lemon,lychee,mango,strawberry,orange,markisa,lemon_lychee,lemon_orange,lemon_mango,orange_lychee,orange_mango,mango_lychee,markisa_fruit,markisa_mango_fruit,passion_lychee_fruit,watermelon_mango_fruit,watermelon_lychee_fruit,sales_total
11/04/2024,71,3,4,2,,2,,,,1,5,4,11,2,1,,,,,,,,,,,,605000
11/05/2024,128,2,5,1,,6,4,,,8,9,11,3,2,,,,,,,,,,,,,1000000
11/06/2024,125,1,5,4,,,6,1,,9,12,8,1,4,,,,,,,,,,,,,1015000
11/07/2024,134,2,3,2,,6,4,1,,2,4,3,1,3,,,,,,,,,,,,,862000
11/08/2024,105,2,,2,,1,1,,,5,3,5,2,2,,,,,,,,,,,,,671000
11/09/2024,83,,8,2,,3,1,,,3,5,6,2,8,,,,,,,,,,,,,707000
11/10/2024,73,,2,1,,5,7,,,8,2,3,6,4,,,,,,,,,,,,,677000
11/11/2024,134,4,4,3,,4,4,,,4,7,4,2,1,,,,,,,,,,,,,912000
11/12/2024,113,3,4,2,,6,2,,,5,3,7,2,4,2,,,,,,,,,,,,859000
11/13/2024,104,,2,3,,4,5,,,5,4,5,4,2,,,,,,,,,,,,,800000
11/14/2024,99,1,3,3,,3,5,2,,6,8,6,2,1,1,,,,,,,,,,,,849000
11/15/2024,187,3,12,4,,8,7,,,12,5,8,3,3,,,,,,,,,,,,,1387000
11/16/2024,184,1,6,5,,11,11,,,4,5,6,4,1,1,,,,,,,,,,,,1378000
11/17/2024,223,5,8,3,,8,4,,,9,12,5,2,1,,,,,,,,,,,,,1539000
11/18/2024,126,7,10,2,,3,7,,1,13,3,3,1,,2,,,,,,,,,,,,1002000
11/19/2024,117,2,,,,1,2,,,6,3,2,2,1,,,,,,,,,,,,,659000
11/20/2024,108,2,3,2,,2,,,,4,2,3,1,1,,,,,,,,,,,,,650000
11/21/2024,135,2,2,,,3,3,,,3,4,2,,2,,,,,,,,,,,,,859000
11/22/2024,77,1,2,3,,1,2,1,,3,5,6,2,,1,,,,,,,,,,,,631000
11/23/2024,105,,1,5,,3,5,,,6,7,7,4,,2,,,,,,,,,,,,875000
11/24/2024,122,1,10,4,,4,3,,,1,7,5,3,2,,,,,,,,,,,,,982000
11/25/2024,135,,6,,,1,2,,1,1,6,8,1,,,,,,,,,,,,,,813000
11/26/2024,110,2,1,1,,2,2,,,4,4,4,1,,,,,,,,,,,,,,668000
11/27/2024,109,3,5,5,,,3,4,1,,2,7,8,1,1,2,,,,,,,,,,,967000
11/28/2024,73,,7,1,,4,4,1,,4,5,6,3,2,1,,,,,,,,,,,,677000
11/29/2024,82,,2,,,,2,1,,4,3,2,2,1,,,,,,,,,,,,,508000
11/30/2024,93,1,4,1,,4,1,1,,4,7,4,2,2,1,,,,,,,,,,,,695000
